input,output
Твоё ниме,Твоё имя
Макото шин кай,Макото Синкай
Хайо милядзаки,Хаяо Миядзаки
Принцесса Мононоке,Принцесса Мононоке
Унесённые призраки,Унесённые призраками
Покемон мью ту наносит удар,Покемон: Мьюту наносит ответный удар
Сатоши кон,Сатоси Кон
Мамуру хосада,Мамору Хосода
Акира,Акира
Дарф Вейдер,Дарт Вейдер
Люк скайвокер,Люк Скайуокер
Хансало,Хан Соло
Обиван кеноби,Оби-Ван Кеноби
Принцеса лея органа,Принцесса Лея Органа
ар ту ди ту,R2-D2
си три пи о,C-3PO
Чубака,Чубакка
Йода,Йода
Звёздные войны: Новая надежда,Звёздные войны: Новая надежда
А дам драйвер,Адам Драйвер
Иэн мак дай армид,Иэн МакДайармид
Биб фортун,Биб Фортуна
Гранд моеф тар кин,Гранд-мофф Таркин
Кайл орен,Кайло Рен
Генерал гри вакс,Генерал Гривус
Тысячилетний сокал,Тысячелетний сокол
Джаба хыт,Джабба Хатт
Джон Уильямс,Джон Уильямс
Империя наносит ответный удар,Империя наносит ответный удар
дарт вадер,Дарт Вейдер
люк скай уокер,Люк Скайуокер
кайло рэн,Кайло Рен
чубака,Чубакка
джей джей эйбрамс,Джей Джей Абрамс
дэйзи рид ли,Дэйзи Ридли
Оскар Айзак,Оскар Айзек
звездные вон,Звёздные войны
Возвращение джедая,Возвращение джедая
Рей,Рей
Гарри Потер и философский камень,Гарри Поттер и философский камень
Дэниел радклиф,Дэниел Рэдклифф
Эмма ватсон,Эмма Уотсон
Рупер Грин,Руперт Гринт
Рубиус Хэгрид,Рубеус Хагрид
Северус снайп,Северус Снейп
Косой перелюк,Косой переулок
Елена Бонем Картер,Хелена Бонэм Картер
Крис Коламбус,Крис Коламбус
Гарри Поттер и тайная комната,Гарри Поттер и тайная комната
Барт Темиус Крауч младший,Бартемиус Крауч младший
базилик под лестницей,базилиск под лестницей
Александра Деспла саундтрек Гарри Поттер,Александр Деспла саундтрек Гарри Поттер
Альфонс куарон Гарри Поттер,Альфонсо Куарон Гарри Поттер
Квиддич,Квиддич
Фенир Грейбек оборотень,Фенрир Грейбек оборотень
Рита скетер статья,Рита Скитер статья
Николай Фламель,Николас Фламель
замок Хог ватс экскурсия,замок Хогвартс экскурсия
Мэттью Льюис,Мэттью Льюис
Гарри поток,Гарри Поттер
Гарри Поттер и принц полу кровь ка,Гарри Поттер и принц-полукровка
Белатрица Лестрейндж,Беллатриса Лестрейндж
Ним фадора тонкс,Нимфадора Тонкс
Северус Снип,Северус Снейп
Рубус Хагрид,Рубеус Хагрид
Грин де вальд,Гриндельвальд
Питер Петигрю,Питер Петтигрю
Гарри Поттер и Кубок огня,Гарри Поттер и Кубок огня
Хогвартс,Хогвартс
Властелин колец,Властелин колец
Власталин колец,Властелин колец
Властелин колец братство кольца,Властелин колец: Братство Кольца
Питер Джаксон,Питер Джексон
Шон блин,Шон Бин
Виго Мортенсон,Вигго Мортенсен
Алайджа вуд,Элайджа Вуд
Голум,Голлум
Фрадо Беггинс,Фродо Бэггинс
Братство Кольца,Братство Кольца
хьюго вивинг,Хьюго Уивинг
глор финдель,Глорфиндель
кейт блан шамет,Кейт Бланшетт
минас тири т,Минас Тирит
Властелин колец: Две крепости,Властелин колец: Две крепости
ховард шор,Говард Шор
энди серкус,Энди Серкис
сильмарил ли он,Сильмариллион
коле борн,Келеборн
Питер Джексон,Питер Джексон
Фрадо Беггинс,Фродо Бэггинс
Гендальф Серый,Гэндальф Серый
Виго Мартенсон,Вигго Мортенсен
Ин Мак Келлен,Иэн Маккеллен
Властелин колец: Братство кольца,Властелин колец: Братство кольца
Ривендэл,Ривенделл
Минас Терит,Минас Тирит
Гол лум,Голлум
меч анду риль ара горн,меч Андурил Арагорн
Леголас,Леголас
Тони стар к,Тони Старк
Крис Иванс,Крис Эванс
Крис Хемсфорт,Крис Хемсворт
Скэрлетт Ехансон,Скарлетт Йоханссон
Человек паук нет пути домой,Человек-паук: Нет пути домой
Сор ви голова сериал,Сорвиголова сериал
Кинг пин,Кингпин
Мстители,Мстители
Чёрная вдова,Чёрная вдова
Том Холенд,Том Холланд
Кевин фейджи,Кевин Файги
Джек керби,Джек Кирби
Райан кублер,Райан Куглер
Бен дикт кам бер бэтч,Бенедикт Камбербэтч
Человек-паук: Вдали от дома,Человек-паук: Вдали от дома
Пол Бетани,Пол Беттани
человек муравьед и оса,Человек-муравей и Оса
Зои Сальдана,Зои Салдана
Себастьян стен,Себастьян Стэн
Черная Пантера,Черная Пантера
Бенедикт кам бер батч,Бенедикт Камбербэтч
Чадвик Бозмен,Чедвик Боузман
Тайка Витити,Тайка Вайтити
Черная пантера,Черная пантера
эм баку,М'Баку
окоя,Окойе
доктор стрэндж,Доктор Стрэндж
геймдал,Хеймдалль
мельнир,Мьёльнир
Скарлет йохэнсон,Скарлетт Йоханссон
Бен Афлек,Бен Аффлек
Роберт Патинсон,Роберт Паттинсон
Джокер,Джокер
Хенри кевил,Генри Кэвилл
Бэтмен против супермена на заре справедливостей,Бэтмен против Супермена: На заре справедливости
Зелёный фонар,Зелёный Фонарь
Харли Куин,Харли Квинн
аква мен,Аквамен
Лига справедливости Снайдера,Лига справедливости Зака Снайдера
Темный рыцарь,Темный рыцарь
Пил и шар,Пьер Ришар
жан люк гудар,Жан-Люк Годар
Белла тарр,Бела Тарр
Акира куросав,Акира Куросава
Терренс Малик,Терренс Малик
Хоккин феникс,Хоакин Феникс
Игман Бергман,Ингмар Бергман
Шон коннари,Шон Коннери
ян шванк майер,Ян Шванкмайер
Небо над Берлином,Небо над Берлином
Пил и шар,Пьер Ришар
Темный найт,Тёмный рыцарь
Уакин феникс,Хоакин Феникс
Квантин Тарантино,Квентин Тарантино
Жан Люк Годар,Жан-Люк Годар
Афонсо Куарон,Альфонсо Куарон
Вуди Ален,Вуди Аллен
ска фейс,Скарфейс
Амели,Амели
Касабланка,Касабланка
Бохемская рапсодия фильм,Богемская рапсодия фильм
Фред и мер кьюри биография,Фредди Меркьюри биография
мне джаггер интервью,Мик Джаггер интервью
пол мак картни фильм,Пол Маккартни фильм
Led Zeppelin концерт,Led Zeppelin концерт
дэвид бой фильм,Дэвид Боуи фильм
рокит мен фильм,Рокетмен фильм
монтаж оф хек фильм о курте кобейне,Montage of Heck фильм о Курте Кобейне
джими хендрикс концерт фильм,Джимми Хендрикс концерт фильм
Queen концерт,Queen концерт
фильм о джо стреммере,фильм о Джо Страммере
Sid and Nancy,Sid and Nancy
фильм контроль про ян кёртис,фильм Control про Иэна Кёртиса
саундтрек марк конфлер к локал хиро,саундтрек Марка Нопфлера к Local Hero
фильмы с дэби хари,фильмы с Дебби Харри
интервью лу рид 1975,интервью Лу Рида 1975
фильм с иги пупом,фильм с Игги Попом
фильмы с том вейт,фильмы с Томом Уэйтсом
Return to Waterloo,Return to Waterloo
сид и венси фильм,фильм Sid and Nancy
мик джегер документальный фильм,Мик Джаггер документальный фильм
дэвид бой биография фильм,Дэвид Боуи биография фильм
пил и поп концерт,Игги Поп концерт
гимми шелтер роллинг стоунз фильм,Gimme Shelter фильм о The Rolling Stones
сид вишес биография,Сид Вишес биография
Алис Купер фильмы,Алис Купер фильмы
сюзи су концерт фильм,Siouxsie Sioux концерт фильм
брус спринг стин концерт фильм,Брюс Спрингстин концерт фильм
велвет андеграунд нико фильм,The Velvet Underground & Nico фильм
Джон Леннон документальный фильм,Джон Леннон документальный фильм
фильм про рей чарлз,фильм про Рэя Чарльза
фильм о нисе симон,фильм о Нине Симон
фильм амазинг грейс арета франклин,фильм 'Amazing Grace' Арета Франклин
фильм о Уитни Хьюстон,фильм о Уитни Хьюстон
фильм про марви гей,фильм про Марвина Гэя
документалка смок и робинс,документалка Смоки Робинсон
фильм гет онап джеймс браун,фильм 'Get On Up' Джеймс Браун
фильм кадилак рекордз,фильм 'Cadillac Records'
фильм леди синкс блюз,фильм 'Lady Sings the Blues' (Билли Холидей)
фильм с Алишей Киз,фильм с Алишей Киз
мав и с стэплз,Мэвис Стэплз
эн пиблс,Энн Пиблз
шарон джонс энд дап кингз,Sharon Jones & The Dap-Kings
сых джонсон,Сил Джонсон
Донни Хэтэуэй,Донни Хэтэуэй
Эрика Баду,Эрика Баду
бэдти дэивис,Бетти Дэвис
макс вэлл,Максвелл
джиллскотт,Джилл Скотт
отис рейтинг,Отис Реддинг
фильм про эриту франклин,фильм про Арету Франклин
фильм про ди анджело,фильм про D'Angelo
док про ирика баду,док про Erykah Badu
полнометражка соландж,полнометражка Соланж
фильм Эми Уайнхаус,фильм Эми Уайнхаус
фильм про марвин гей,фильм про Marvin Gaye
док о нине семен,док о Нине Симон
песня от отис реддинг,песня от Otis Redding
смок и робинсон коллекция песен,Smokey Robinson коллекция песен
Принс,Принс
Виткор цой,Виктор Цой
фильм про виктора цоя,фильм про Виктора Цой
борис грабенщиков документалка,Борис Гребенщиков документалка
Кино,Кино
фильм про юру шевчука,фильм про Юрия Шевчука
машинавремени концерт фильм,Машина времени концерт фильм
вячеслав бутосов биография,Вячеслав Бутусов биография
интервью кинчев константин,Интервью Константин Кинчев
Андрей Макаревич,Андрей Макаревич
александр баш лавчев фильм,Александр Башлачёв фильм
фильм о майке науменке,фильм о Майке Науменко
документалка про юра каспариан,документалка про Юрия Каспаряна
питер мамонов такси блюз,Пётр Мамонов Такси-Блюз
борис грабенщиков документалка,Борис Гребенщиков документалка
док про александра башлачев,док про Александра Башлачёва
интервью константина кинчева,интервью константина кинчева
фильм серега корюхин,фильм Сергей Курёхин
фильм звуки мы,фильм Звуки Му
поиск андрея макаревского документальный,поиск Андрея Макаревича документальный
док про виктора цоя,док про Виктора Цоя
вектор цой фильм игла,Виктор Цой фильм «Игла»
на ути лис пом пилиус концерт 1993,концерт Наутилус Помпилиус 1993
борис гребен щиков интервью,Борис Гребенщиков интервью
Виктор Цой,Виктор Цой
юрий шев чук лучшие песни,Юрий Шевчук лучшие песни
миша горшенев король и шут фильм,Михаил Горшенёв Король и Шут фильм
Наутилус Помпилиус,Наутилус Помпилиус
константин кинчев алиса биография,Константин Кинчев Алиса биография
егор летов гражданская оборона клипы,Егор Летов Гражданская Оборона клипы
звук ему документальный фильм,Звуки Му документальный фильм
Анна Каренина,Анна Каренина
Война и мир,Война и мир
Вой не мир,Война и мир
Анна кара и на,Анна Каренина
лев толстый,Лев Толстой
фёдор достоинский,Фёдор Достоевский
мёртвые суды фильм,Мёртвые души фильм
чай ка фильм,Чайка фильм
отцы и двери,Отцы и дети
об ламов,Обломов
фильм по лескову лев ше,фильм по Лескову «Левша»
облом оф гончаров фильм,Обломов Гончаров фильм
экранзация сал ты ков щедрин история одного города,экранизация Салтыкова-Щедрина «История одного города»
гроза остров ский,Гроза Островского
по рассказам некрасоф фильм,по рассказам Некрасова фильм
фильм биография короленка,фильм биография Короленко
гори от ума гри боедов фильм,Горе от ума Грибоедова фильм
фильм 'Гроза' Островского,фильм 'Гроза' Островского
экранизация 'История одного города' Салтыков-Щедрин,экранизация 'История одного города' Салтыков-Щедрин
по рассказам гар шин фильм,по рассказам Гаршина фильм
фильм мертвые даши гоголь,фильм Мёртвые души Гоголь
анна карина фильм с кирстен данст,Анна Каренина фильм с Кирстен Данст
режиссер война и мир сергей бандарчук,режиссер Война и мир Сергей Бондарчук
фильм преступление и наказание достовский,фильм Преступление и наказание Достоевский
Лев Толстой Война и мир,Лев Толстой Война и мир
фильм про михаила лерман тов,фильм про Михаила Лермонтова
фильм дама и собачка чехов,фильм Дама с собачкой Чехов
пушкин последняя дюль,Пушкин. Последняя дуэль
фильм по пьесе островского гро за,фильм по пьесе Островского Гроза
Антон Чехов фильмы по рассказам,Антон Чехов фильмы по рассказам
Михайл Булгаков,Михаил Булгаков
мастера и маргарита сериал,Мастер и Маргарита сериал
доктор живого фильм,Доктор Живаго фильм
Владимир Набакоф,Владимир Набоков
братья строгачки книги,Братья Стругацкие книги
Исаак Бабул рассказы,Исаак Бабель рассказы
Владимир Маяковский,Владимир Маяковский
борис пастернак фильм доктор живого,Борис Пастернак фильм Доктор Живаго
Мастер и Маргарита,Мастер и Маргарита
Александр Солженицин,Александр Солженицын
Андрей платон оф фильм,Андрей Платонов фильм
Веник дик ерофеев аудиоспектакль,Венедикт Ерофеев аудиоспектакль
Варлам шала му экранизация,Варлам Шаламов экранизация
Юрий три фонов фильм по роману,Юрий Трифонов фильм по роману
Михаил зощен ко короткометражка,Михаил Зощенко короткометражка
Константин пау сто вс кий документалка,Константин Паустовский документалка
Виктор шкл офский интервью,Виктор Шкловский интервью
Александр бэк сценарий фильма,Александр Бек сценарий фильма
Даниил Хармс,Даниил Хармс
Иосиф Бродский фильм,Иосиф Бродский фильм
Мы чай булка гов,Михаил Булгаков
Мастер и маргарита,Мастер и Маргарита
иск зак бабель,Исаак Бабель
вар лям шало мав,Варлам Шаламов
пас тернак доктор живого,Пастернак Доктор Живаго
даниел харрис,Даниил Хармс
венедикт еро фигов москва петушки,Венедикт Ерофеев Москва — Петушки
ев ген зам я тин мы,Евгений Замятин Мы
Ильф и Петров,Ильф и Петров
сол ченицын один день иван данисович фильм,Александр Солженицын Один день Ивана Денисовича фильм
документальный фильм о Фрид рихе Ничше,документальный фильм о Фридрихе Ницше
фильмы про рене де карт,фильмы про Рене Декарта
жан поль сарта фильмы,фильмы про Жана-Поля Сартра
документалка о мешель фу ко,документальный фильм о Мишеле Фуко
интервью с Иммануилом Канть,интервью с Иммануилом Кантом
фильм о Карле Марксе,фильм о Карле Марксе
фильм про лудвиг вита генштейн,фильм про Людвига Витгенштейна
док фильм про каме дю,документальный фильм про Альбера Камю
документалка про девит юм,документальный фильм про Дэвида Юма
фильмы про Платона,фильмы про Платона
фильм про Мишел фокус,фильм про Мишель Фуко
документалка про Жак Дерида,документалка про Жак Деррида
фильмы Жил Делез,фильмы Жиль Делёз
Герберт Маркус биография,Герберт Маркузе биография
фильм о Сирен Киркегор,фильм о Сёрен Кьеркегор
док про Вальтер Бенджамин,док про Вальтер Беньямин
фильм по Камю,фильм по Камю
фильм про Эммануэль Левинас,фильм про Эммануэль Левинас
Людвиг Вигенштейн интервью,Людвиг Витгенштейн интервью
фильм Морис Марло понти,фильм Морис Мерло-Понти
документалка про серен киркегор,документальный фильм о Сёрене Кьеркегоре
фильм про мишкель фуко,фильм про Мишеля Фуко
фильм о жан поль садр,фильм о Жане-Поле Сартре
док про альбер камас,документальный фильм про Альбера Камю
фильм про людвиг видгенштейн,фильм про Людвига Витгенштейна
покажите фильм про мартина хайде ка гера,покажите фильм про Мартина Хайдеггера
док о симон де бовоар,док о Симоне де Бовуар
фильм про девида юм,фильм про Дэвида Юма
документальный фильм о Фридрихе Ницше,документальный фильм о Фридрихе Ницше
фильм о Томасе Хоббсе,фильм о Томасе Хоббсе
Дмитрий Мендельеев,Дмитрий Менделеев
фильм про ивана плавлова,фильм про Ивана Павлова
Чиолковский фильм,Циолковский фильм
Сергей королев документалка,Сергей Королёв документалка
Андрей Сахаров,Андрей Сахаров
Лев лендау интервью,Лев Ландау интервью
Игорь курчатков биография,Игорь Курчатов биография
Пётр капитца фильм,Пётр Капица фильм
Николай вашилов документалка,Николай Вавилов документалка
Яков Зельдович,Яков Зельдович
фильм про сережу короля,фильм про Сергея Королёва
документалка про андрия сахарова,документалка про Андрея Сахарова
фильм о жизни игр курчатова,фильм о жизни Игоря Курчатова
фильм про дмитрий меня лев,фильм про Дмитрия Менделеева
фильм про Константина Циолковского,фильм про Константина Циолковского
фильм про николая вавилона,фильм про Николая Вавилова
фильм про паф нутия чебы шев,фильм про Пафнутия Чебышёва
кино про лев ланда,кино про Льва Ландау
кино про жи чевского,кино про Чижевского
фильм про Николая Лобачевского,фильм про Николая Лобачевского
серж королев документалка,Сергей Королёв документалка
кино про циоловского,кино про Циолковского
документальный фильм про дмитра мен делеева,документальный фильм про Дмитрия Менделеева
фильм про Андрея Сахарова,фильм про Андрея Сахарова
Игорь Кур чат ов биография,Игорь Курчатов биография
профессор паулов фильм о собаках,профессор Павлов фильм о собаках
лев и ландау интервью,Лев Ландау интервью
док про менчикова,док про Мечникова
фильм о Менделеефф,фильм о Менделееве
документальный фильм о Циолковском,документальный фильм о Циолковском
Аль бёрт эйн штайн фильм,Фильм про Альберта Эйнштейна
фильм про не тю тон,Фильм про Исаака Ньютона
ника ла тесла биография фильм,Фильм о Николе Тесле
стивен хаккинг документалка,Документальный фильм про Стивена Хокинга
Зигмунд Фрейд,Зигмунд Фрейд
чарлз дарвин фильм,Фильм о Чарльзе Дарвине
ри чард фейн мен интервью,Ричард Фейнман интервью
вернер гайзен берг фильм,Фильм о Вернере Гейзенберге
космас карла сагана,Космос Карла Сагана
Мария Кюри,Мария Кюри
Роберт о пан геймер,Роберт Оппенгеймер
Джон фон нойман,Джон фон Нейман
лиза магнитер,Лиза Мейтнер
пол дирек,Пол Дирак
энрико фими,Энрико Ферми
розалин франклин,Розалинд Франклин
мери джел ман,Мюррей Гелл-Манн
тим бернерсли,Тим Бернерс-Ли
Оппенгеймер,Оппенгеймер
Скрытые фигуры,Скрытые фигуры
алан ты воринг,Алан Тьюринг
Стивен Хокинг,Стивен Хокинг
ричард фейн мэн,Ричард Фейнман
Ричард Фейнман,Ричард Фейнман
фильм про карл сэйгэн,фильм про Карла Сагана
нилис бор биография,Нильс Бор биография
фильм про макс планг,фильм про Макса Планка
джеймс ватсон интервью,Джеймс Уотсон интервью
френсис крик,Фрэнсис Крик
мария складовская куари,Мария Склодовская-Кюри
